manufacturer_id,name
332,HARIG INDIA PRIVATE LIMITED
333,HARIG LNDIA PVT. LTD.
334,HARMEET AGRICULTURE WORKS
335,HARSH TRADING CO
336,HARVEL TRACTOR FARM EQUIPMENTS
337,HARVEST COMBINE
338,HASSAN TRAILERS
339,HAULWEL TRAILERS
340,HEENA ENGINEERING WORKS
341,HEMAVATHI AGRO INDUSTRIES
342,HERO ECO VEHICLES PVT LTD
343,HERO ELECTRIC VEHICLE PVT LTD
344,HERO ELECTRIC VEHICLES PVT. LTD
345,HERO HONDA MOTORS LTD
346,HERO MOTOCORP LTD
347,HIMANI AGRO INDUSTRIES
348,HIND AGRO INDUSTRIES
349,HINDUSTAN AGRICULTURAL IMPLEMENTS ANTPR
350,HINDUSTAN AGRO INDUSTRIES
351,HINDUSTAN MOTOR CORPORATION
352,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED
353,HINDUSTAN MOTORS LTD
354,HINO MOTORS LIMITED
355,HIRA AGRO INDUSTRIES
356,HITECH AGRO INDUSTRIES
357,HITECH ELECTRIC AUTO CO
358,HITECH ENGINEERING LTD
359,HITECH MECHANICAL WORKS
360,HMT LIMITED
361,HOLLAND TRACTORS PVT LTD
362,HONDA CARS INDIA LTD
363,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD
364,HOOGHLY MOTORS PVT LTD
365,HUMMER
366,HUNAN ZOOMLION INT. TRADE CO.
367,HUNDA EV PVT LTD
368,HUNDAL INDUSTRIES
369,HYKON INDIA LTD
370,HYUNDAI MOTOR INDIA LTD
371,"HYUNDAI MOTORS LTD, SOUTH KOREA"
372,I.T. F.I.LTD.
373,IDEAL JAWA INDIA PVT LTD
374,IMPORTED VEHICLE
375,INDERPREET AGRO INDUSTRIES
376,INDIA AUTO LIMITED
377,INDIA KAWASAKI MOTORS PVT LTD
378,INDIA MECHANICAL WORKS
379,INDIA TECH LTD
380,INDIA YAMAHA MOTOR PVT LTD
381,INDIAN AGRICULTURAL INDUSTRIES
382,INDIAN AGRO INDUSTRIES
383,INDIAN MOTORCYCLE COMPANY
384,INDIAN MOTORS
385,INDICON AGRO INDUSTRIES LLP
386,INDIRA STEEL INDUSTRIES
387,INDO FARM EQUIPMENT LIMITED
388,INDUS ELECTROTHERM INDIA LTD
389,INDUS MOTOR CO PVT LTD
390,INGERSOLL RAND INDIA LTD.
391,INTERNATIONAL CARS & MOTORS LIMITED
392,INTERNATIONAL CARS & MOTORS LTD
393,INTERNATIONAL TRACTORS LIMITED
394,INVALID CARRIAGE
395,"IR BOBCAT COMPANY, USA"
396,ISUZU MOTOR INDIA PVT LTD
397,ISUZU MOTORS INDIA PVT LTD
398,IVECO S.P.A.
399,J B AGRO INDUSTRIES
400,J B ENGINEERING INDUSTRIES
401,J D ENGINEERING PVT.LTD.
402,J J ENTERPRISES
403,J K AGRO INDUSTRIES
404,J K ENGINEERING
405,J K STEEL
406,J K TRAILERS
407,J S AGRO INDUSTRIES
408,J S MOBILEON PVT LTD
409,J. S. AUTO (P) LTD
410,J.S. AUTO PRIVATE LTD
411,J.S.P. AUTOMOTIVE
412,J.V.S TRAILERS
413,JADHAV AGRO INDUSTRIES PVT. LTD.
414,JAGDAMBA AUTOMOBILE ENGINEERS
415,JAGDISH AUTO INDUSTRIES
416,JAGDISH ENGINEERING WORKS
417,JAGMOHAN ALLIED AUTO IND.PVT.LTD.
418,JAGUAR LAND ROVER INDIA LIMITED
419,JAI AMBE FABRICATION & ENGINEERING WORK
420,JAI BABA HERAKHAN AGR. WORKS
421,JAI BHAVANI ENGINEERING WORKS
422,JAI BHAVANI INDUSTRIES
423,JAI DURGA AGRICULTURAL WORKS
424,JAI GANESH AGRO INDUSTRIES
425,JAI GURU SAI ENGG WORKS
426,JAI HANUMAN INDUSTRIES
427,JAI SHRI RAM AGRI.TRAILERS EQUIPMENT
428,JALADI ENGINEERING WORKS
429,JANANI TRAILERS
430,JANATHA AGRO INDUSTRIES
431,JANTA AGRICULTURE WORKS
432,JANTA SUPER TRAILOR
433,JAVA MOTORS LTD
434,JAY AGRO INDUSTRIES
435,JAY KHODIYAR AGRO INDUSTRIES
436,JAY SARDAR AGRO IND
437,JAY SHREE BALAJI ENG WORKS
438,JAYA AUTOMOTIVES PVT LTD
439,JAYA LAKSHMI ENGINEERING WORKS
440,JAYANT ENGINEERING WORKS
441,JAYANTHI NATHAR AGRO CENTRE
442,JAYANTI AGRO CENTRES
443,JAYESSAR EQUIPMENT PVT LTD
444,JBM AUTO LIMITED
445,JBM INDUSTRIES LIMITED
446,JBM SOLARIS ELECTRIC VEHICLES PVT
447,JCB INDIA LIMITED
448,JCB INDIA LTD
449,JCBL LIMITED
450,JEELANI ENGINEERING WORKS
451,JEENESHWAR ENGINEERING
452,JEEVA TRAILERS
453,JEJANI TRACORT
454,JITENDRA NEW EV-TECH PVT. LTD
455,JITURI ENGINEERING WORKS
456,JIWAN AGRI IMPLEMENTS WORKSHOP
457,JOHN DEERE INDIA PVT LTD(CROP SOLUTION DIV)
458,JOHN DEERE INDIA PVT LTD(TRACTOR DEVISION)
459,JOHNSON TRACTORS & MOTORS PVT. LTD.
460,JP INDUSTRIES
461,JS MOBILEON PVT LTD
462,JSS ENGINEERING COMPANY
463,JYOTI AGRO INDUSTRIES
464,JYOTI ENGINEERING WORKS
465,JYOTI INDUSTRIES
466,JYOTI STEEL INDUSTRIES
467,K G N AGRO INDUSTERIES
468,K K ENGINEERING WORKS
469,K K TRAILOR
470,K M AGRO WORKS
471,K M ENGINEERING
472,K P INDUSTRIES
473,K S AGRICULTURAL INDUSTRIES
474,K.G.N.STEEL INDUSTRIES
475,KALINGA AUTO ENGG
476,KALPASHRI AGRO TRAILERS
477,KAMADHENU FARM EQUIPMENTS
478,KAMAL AGRO INDUSTRIES
479,KAMBALI AGRO ENGINEERING INDUSTRIES
480,KAMEDERAL ASSOCIATES INDUSTRIE
481,KANDA MOTORS PVT LTD
482,KANKARIA AND COMPANY
483,KAP SHRI AGRO TRAILERS
484,KARNATAKA AGRO INDUSTRIES
485,KARNAVATI AUTO LTD
486,KARTAR AGRO INDUSTRIES PVT LTD
487,KARUMALAIAN AGRO INDUSTRY
488,KASHIM ALI STEEL WORKS
489,KASIM ALI STEEL ENTERPRISES
490,KATARIYA MOTORS PVT LTD
491,KAVERI TRAILERS.
492,KAVI MOTORS
493,KAVITHA INDUSTRIES
494,KAWASAKI HEAVY INDUSTRIES LTD
495,KAWERI ENGINEERING WORKS
496,KAYAMEL MACHINE PRIVATE LTD
497,KERALA AGRO MACHINERY CORP. LTD.
498,KERALA AGRO MACHINERY CORPORATION LTD
499,KERALA AUTOMOBILES LIMITED
500,KERALA AUTOMOBILES LTD
501,KHALEEL ENGINEERING WORKS
502,KHAN ENGINEERING WORKS
503,KHIDIYAR TRACTOR
504,KINETIC HONDA MOTOR LIMITED
505,KINETIC MOTOR COMPANY LIMITED
506,KIRIT ENGINEERING WORKS
507,KIROL GHATGE PATIL AUTO
508,KISAN AGRO INDUSTRIES
509,KISAN ENGINEERING
510,KISAN ENGINEERING WORKS
511,KISHAN AGRO INDUSTRIES
512,KISMAT AUTO IND
513,KISSAN AGRO INDUSTRIES
514,KISSNA ENGG WORKS
515,KK INDUSTRIES
516,KODAI CARS P LTD
517,KOHINOOR ENGGINEERING WORKS
518,KOKILA ENGINEERING
519,KOMATSU INDIA PRIVATE LIMITED
520,KOMATSU LTD JAPAN
521,KORISIDDESHWAR AGRO IND SHP
522,KRANTI AUTOMOBILES LIMITED
523,KRANTI AUTOMOBILES LTD
524,KRANTI INTERNATIONAL
525,KRISHANA MOTORS
526,KRISHI ENGINEERING WORKS
527,KRISHI LAXMI AGRO INDUSTRIES
528,KRISHNA INDUSTRIES
529,KRT MOTORS PVT LTD
530,KRUPPA PVT LTD
531,KRUSHIRAJ ENGINEERING WORKS
532,KRUSHNA AGRO ENGINEERING WORKS
533,KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.
534,KUMAR ENGINEERING
535,KUMAR MOTORS PVT LTD
536,KURUKSHETRA AUTOMOBILES (P) LTD.
537,L & T CASE EQUIPMENT PVT LTD
538,L&T CONSTRUCTION EQUIPMENT LIMITED
539,LAKSHMI AGRO INDUSTRIES
540,LAKSHMISHA INDUSTRIES
541,LAMBORGHINI
542,LAMBRETTA MOTORCYCLES AND SCOOTERS
543,LARSEN AND TOUBRO LIMITED
544,LATIYA MOTORS LTD
545,LAXMI ENGINEERING WORKS
546,LAXMI STEEL INDUSTRIES
547,LAXMI STEEL PRODUCTS
548,LAXMI TRAILERS
549,LIBERTY AGRO SERVICE
550,LIEBHERR
551,LINCOLN TOWN CAR
552,LINK AGRO ENGINEERING WORKS
553,LML LIMITED
554,LMV LTD
555,LOCAL TRAILER MANUFACTURER
556,LOHIA AUTO INDUSTRIES LTD.
557,LOKOMO
558,LOTIA MOTORS LIMITED
559,LOTIA MOTORS LTD
560,M G B AUTOMOTIVES (P) LTD
561,M G BROTHERS
562,M S INDUSTRIAL ASSOCIATION
563,M T W ENG WORKS LTD
564,M V TRAILER
565,M. G. CAR COMPANY
566,M. T. W. LTD.
567,M.C. FARM & ENGINEERING EQUIPMENTS
568,M.G.M. TRACTORS AND TRAILERS
569,M.G.P ENGINEERING WORKS
570,M.S. AGRO INDUSTRIES
571,"M.S.ENG.WORKS, NIMAPADA"
572,M.S.G. INDUSTRIES
573,M.S.LTD.
574,M/S IRA INDUSTRIES
575,M/S LAKSHMI ENGINEERING WORKS
576,M/S SRISHTI AUTOMOBILES
577,MAA ENGINEERING TRAILOR
578,MAC TRAILORS ENG WORKS
579,MACHINERY MANU CORPN
580,MACNEILL ENGG LTD
581,MACRO ENTERPRISES
582,MADHU AUTOMOBILES LTD
583,MADINA ENGG. WORK
584,MAGANAHALLI INDUSTRIES
585,MAHABIR INDUSTRIES
586,MAHABOOB TRACTOR ENGG WORKS
587,MAHADEV TRAILERS
588,MAHALAKSHMI INDUSTRIES
589,MAHALAXMI ENGINEERING WORKS
590,MAHALINGA ENGG. INDUSTRIES
591,MAHANTESH ENG WORK
592,MAHARAJA TRAILER
593,MAHARASTRA SCOOTER LIMITED
594,MAHAVIR AGRO EQUIPMENTS
595,MAHEBOOB KHAN ENGG WORKS
596,MAHINDRA & MAHINDRA LIMITED
597,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)
598,MAHINDRA & MAHINDRA LIMITED (TRACTOR)
599,MAHINDRA DEFENCE SYSTEMS LTD
600,MAHINDRA ELECTRIC MOBILITY LIMITED
601,MAHINDRA GUJARAT TRACTOR LIMITED
602,MAHINDRA NAVISTAR AUTOMOTIVES LTD
603,MAHINDRA NISSAN ALLWYN LTD.
604,MAHINDRA RENAULT PVT.LTD.
605,MAHINDRA TWO WHEELERS LTD
606,MAHINDRA VEHICLE MANUFACTURER LIMITED
607,MAILARALINGESHWAR AGRICULTURE
608,MAJESTIC AUTO LTD
609,MALKIT AGRO INDUSTRIES
610,MALKIT AGRO TECH PVT. LTD
611,MALLESHA ENGINEERING
612,MALLIKARJUNA AGRO ENGG WORKS
613,MALTESH INDUSTRIES
614,MAN TRUCKS INDIA PVT. LTD.
615,MANAK AGRO TECH PVT. LTD
616,MANGALA IMPLEMENTS
617,MANI ENGENEERING INDUSTRIES
618,MANIAR AND COMPANY
619,MANICAM TRAILERS
620,MANITOWOC INDIA LIMITED
621,MANIYAR AGRO INDUSTRIES.
622,MANJIT AGRO WORKS
623,MANJU TRAILERS
624,MANKU AGRO TECH. PVT. LTD.
625,MANORAMA TRACTORS
626,MANPREET AGRO INDUSTIRES NABHA
627,MANU ENGG WORKS
628,MANU INDUSTRIES
629,MANU TRAILORS
630,MARATHWADA QUALITY TRAILER
631,MARIS ENGINEERING LTD
632,MARSHAL SONS & CO. I.LTD.
633,MARTHWADA TRALIOR
634,MARUTI ENGINEERING WORKS
635,MARUTI INDUSTRIES
636,MARUTI SUZUKI INDIA LTD
637,MARUTI UDYOG LTD
638,MASERATI S.P.A
639,MASSEY FERGUSON LTD
640,MATHA INDUSTRIES
641,MATHAROO AGRICULTURE IMPLIMENT
642,MATHARU ENGINEERING WORKS
643,MATHURA AGRO TECH.
644,MAXMECH EQUIPMENTS PVT LTD
645,MBS AGRICULTURAL INDUSTRIES
646,MD RASUL ENGG WORKS
647,MD.GHOUSE GENERAL ENG.WORKS
648,MEERA AUTO IND
649,MEGHA AGRO INDUSTRIES
650,MEHBOOB GENERAL ENGINEERING WORKS
651,MERCEDES -BENZ AG
652,MERCEDES-BENZ INDIA PVT LTD
653,MINSK TRACTOR (IMPORTER: ERISHA AGRITECH)
654,MITSUBISHI MOTORS CORPORATION
655,MLR MOTORS PVT LTD
656,MODERN AGRO INDUSTRIES
657,MODERN FARM INDUSTRIES
658,MODERN WELDINGS WORKS
659,MOHAMMED RURAL ENG WORKS
